"","ADMIN1Name","ADMIN1Code","ADMIN2Name","ADMIN2Code","FCG_Poor","FCG_Borderline","FCG_Acceptable","FCG_finalphase","HDDS_Phase1","HDDS_Phase2","HDDS_Phase3","HDDS_Phase4","HDDS_Phase5","HDDS_finalphase","HHS_Phase1","HHS_Phase2","HHS_Phase3","HHS_Phase4","HHS_Phase5","HHS_finalphase","LhHCSCat_NoStrategies","LhHCSCat_StressStrategies","LhHCSCat_CrisisStategies","LhHCSCat_EmergencyStrategies","LhHCSCat_finalphase","rCSI_Phase1","rCSI_Phase2","rCSI_Phase3","rCSI_finalphase"
"1","Adamawa","NG002","Madagali","NG002010",1.6,32.8,65.6,1,68.8,25,6.2,0,0,2,78.1,12.5,9.4,0,0,2,51.6,29.7,1.6,17.2,2,70.3,28.1,1.6,2
"2","Adamawa","NG002","Yola North","NG002020",3.6,14.3,82.1,1,82.1,14.3,0,3.6,0,1,57.1,17.9,21.4,0,3.6,3,60.7,10.7,0,28.6,4,39.3,50,10.7,2
"3","Adamawa","NG002","Demsa","NG002001",0,18.2,81.8,1,90.9,6.1,3,0,0,1,42.4,27.3,30.3,0,0,3,54.5,42.4,0,3,2,33.3,66.7,0,2
"4","Adamawa","NG002","Maiha","NG002011",0,12.5,87.5,1,75,18.8,6.2,0,0,2,43.8,31.2,25,0,0,3,62.5,12.5,0,25,4,6.2,6.2,87.5,3
"5","Adamawa","NG002","Yola South","NG002021",0,26.8,73.2,1,85.4,9.8,4.9,0,0,1,85.4,9.8,4.9,0,0,1,53.7,19.5,2.4,24.4,4,82.9,12.2,4.9,1
"6","Adamawa","NG002","Fufore","NG002002",6,18,76,2,76,14,8,2,0,2,66,22,12,0,0,2,50,10,4,36,4,24,76,0,2
"7","Adamawa","NG002","Mayo-Belwa","NG002012",0,19,81,1,85.7,14.3,0,0,0,1,71.4,14.3,14.3,0,0,2,66.7,14.3,0,19,2,52.4,47.6,0,2
"8","Adamawa","NG002","Ganye","NG002003",2.8,13.9,83.3,1,83.3,16.7,0,0,0,1,69.4,13.9,13.9,2.8,0,2,69.4,11.1,0,19.4,2,52.8,27.8,19.4,2
"9","Adamawa","NG002","Michika","NG002013",0,10.4,89.6,1,91,7.5,1.5,0,0,1,62.7,17.9,19.4,0,0,2,59.7,14.9,1.5,23.9,4,29.9,55.2,14.9,2
"10","Adamawa","NG002","Gombi","NG002004",0,0,100,1,96,4,0,0,0,1,0,16,80,4,0,3,60,24,0,16,2,0,8,92,3
"11","Adamawa","NG002","Mubi North","NG002014",0,8.7,91.3,1,87,13,0,0,0,1,34.8,26.1,39.1,0,0,3,47.8,21.7,0,30.4,4,0,30.4,69.6,3
"12","Adamawa","NG002","Girei","NG002005",6.7,40,53.3,2,46.7,40,13.3,0,0,2,53.3,0,46.7,0,0,3,60,13.3,0,26.7,4,33.3,40,26.7,3
"13","Adamawa","NG002","Mubi South","NG002015",0,0,100,1,92,8,0,0,0,1,24,36,40,0,0,3,64,12,8,16,3,0,36,64,3
"14","Adamawa","NG002","Guyuk","NG002006",12.1,51.5,36.4,3,39.4,15.2,36.4,9.1,0,3,66.7,18.2,15.2,0,0,2,63.6,12.1,3,21.2,4,12.1,69.7,18.2,2
"15","Adamawa","NG002","Numan","NG002016",0,27.8,72.2,1,83.3,11.1,5.6,0,0,1,77.8,16.7,5.6,0,0,2,50,22.2,5.6,22.2,4,33.3,66.7,0,2
"16","Adamawa","NG002","Hong","NG002007",0,0,100,1,88,12,0,0,0,1,32,8,60,0,0,3,48,16,4,32,4,4,16,80,3
"17","Adamawa","NG002","Shelleng","NG002017",0,14.8,85.2,1,96.3,3.7,0,0,0,1,77.8,14.8,7.4,0,0,2,59.3,18.5,0,22.2,4,40.7,59.3,0,2
"18","Adamawa","NG002","Jada","NG002008",0,7.3,92.7,1,92.7,4.9,2.4,0,0,1,80.5,7.3,9.8,2.4,0,1,41.5,34.1,0,24.4,4,36.6,58.5,4.9,2
